instance_name	label
instance_222	1
instance_223	4
instance_224	4
instance_225	3
instance_226	4
instance_227	4
instance_228	2
instance_229	4
instance_230	0
instance_231	2
instance_232	4
instance_233	4
instance_234	4
instance_235	2
instance_236	3
instance_237	0
instance_238	3
instance_239	2
instance_240	3
instance_241	0
instance_242	4
instance_243	4
instance_244	1
instance_245	2
instance_246	4
instance_247	4
instance_248	0
instance_249	0
instance_250	4
instance_251	1
instance_252	4
instance_253	2
instance_254	0
instance_255	4
instance_256	4
instance_257	1
instance_258	4
instance_259	1
instance_260	3
instance_261	4
instance_262	2
instance_263	4
instance_264	4
instance_265	1
instance_266	0
instance_267	1
instance_268	4
instance_269	4
instance_270	2
instance_271	3
instance_272	4
instance_273	4
instance_274	1
instance_275	4
instance_276	2
instance_277	4
instance_278	4
instance_279	1
instance_280	3
instance_281	3
instance_282	1
instance_283	2
instance_284	4
instance_285	0
instance_286	3
instance_287	3
instance_288	1
instance_289	4
instance_290	2
instance_291	4
instance_292	3
instance_293	2
instance_294	3
instance_295	4
instance_296	4
instance_297	1
instance_298	1
instance_299	3
instance_300	4
instance_301	3
instance_302	4
instance_303	3
instance_304	2
instance_305	3
instance_306	4
instance_307	2
instance_308	4
instance_309	4
instance_310	4
instance_311	1
instance_312	2
instance_313	3
instance_314	2
instance_315	1
instance_316	4
instance_317	2
instance_318	4
instance_319	4
instance_320	3
instance_321	3
instance_322	1
instance_323	2
instance_324	4
instance_325	1
instance_326	2
instance_327	4
instance_328	3
instance_329	1
instance_330	4
instance_331	3
instance_332	4
instance_333	4
instance_334	2
instance_335	2
instance_336	3
instance_337	4
instance_338	4
instance_339	4
instance_340	1
instance_341	4
instance_342	4
instance_343	4
instance_344	4
instance_345	2
instance_346	4
instance_347	2
instance_348	4
instance_349	4
instance_350	3
instance_351	4
instance_352	4
instance_353	2
instance_354	1
instance_355	4
instance_356	1
instance_357	4
instance_358	3
instance_359	3
instance_360	4
instance_361	4
instance_362	4
instance_363	3
instance_364	2
instance_365	4
instance_366	4
instance_367	3
instance_368	3
instance_369	0
instance_370	4
instance_371	0
instance_372	4
instance_373	3
instance_374	4
instance_375	1
instance_376	3
instance_377	4
instance_378	2
instance_379	3
instance_380	0
instance_381	4
instance_382	4
instance_383	2
instance_384	4
instance_385	4
instance_386	4
instance_387	1
instance_388	3
instance_389	4
instance_390	4
instance_391	4
instance_392	4
instance_393	0
instance_394	4
instance_395	4
instance_396	2
instance_397	4
instance_398	1
instance_399	1
instance_400	3
instance_401	2
instance_402	2
instance_403	2
instance_404	2
instance_405	0
instance_406	0
instance_407	0
instance_408	0
instance_409	0
instance_410	0
instance_411	0
instance_412	1
instance_413	0
instance_414	4
instance_415	2
instance_416	0
instance_417	0
instance_418	0
instance_419	1
instance_420	0
instance_421	0
instance_422	2
instance_423	1
instance_424	1
instance_425	2
instance_426	3
instance_427	3
instance_428	0
instance_429	3
instance_430	1
instance_431	4
instance_432	2
instance_433	4
instance_434	0
instance_435	0
instance_436	2
instance_437	2
instance_438	3
instance_439	2
instance_440	1
instance_441	0
instance_442	1
instance_443	0
instance_444	1
instance_445	1
instance_446	3
instance_447	2
instance_448	0
instance_449	0
instance_450	1
instance_451	0
instance_452	0
instance_453	3
instance_454	0
instance_455	2
instance_456	4
instance_457	1
instance_458	1
instance_459	3
instance_460	3
instance_461	1
instance_462	1
instance_463	1
instance_464	4
instance_465	1
instance_466	0
instance_467	4
instance_468	3
instance_469	3
instance_470	3
instance_471	3
instance_472	1
instance_473	1
instance_474	0
instance_475	0
instance_476	0
instance_477	4
instance_478	0
instance_479	0
instance_480	0
instance_481	0
instance_482	4
instance_483	3
instance_484	0
instance_485	2
instance_486	4
instance_487	4
instance_488	4
instance_489	0
instance_490	4
instance_491	3
instance_492	2
instance_493	4
instance_494	1
instance_495	2
instance_496	2
instance_497	4
instance_498	0
instance_499	0
instance_500	1
instance_501	0
instance_502	0
instance_503	4
instance_504	2
instance_505	4
instance_506	2
instance_507	2
instance_508	1
instance_509	0
instance_510	3
instance_511	2
instance_512	0
instance_513	0
instance_514	4
instance_515	1
instance_516	2
instance_517	4
instance_518	0
instance_519	2
instance_520	4
instance_521	2
instance_522	3
instance_523	3
instance_524	2
instance_525	0
instance_526	0
instance_527	0
instance_528	1
instance_529	0
instance_530	0
instance_531	0
instance_532	1
instance_533	1
instance_534	3
instance_535	1
instance_536	0
instance_537	3
instance_538	1
instance_539	0
instance_540	2
instance_541	2
instance_542	3
instance_543	3
instance_544	0
instance_545	0
instance_546	2
instance_547	4
instance_548	0
instance_549	1
instance_550	1
instance_551	1
instance_552	0
instance_553	3
instance_554	0
instance_555	0
instance_556	0
instance_557	0
instance_558	4
instance_559	0
instance_560	2
instance_561	1
instance_562	1
instance_563	4
instance_564	0
instance_565	1
instance_566	0
instance_567	0
instance_568	1
instance_569	4
instance_570	1
instance_571	0
instance_572	1
instance_573	0
instance_574	0
instance_575	0
instance_576	1
instance_577	0
instance_578	2
instance_579	3
instance_580	2
instance_581	4
instance_582	1
instance_583	3
instance_584	1
instance_585	0
instance_586	0
instance_587	4
instance_588	4
instance_589	3
instance_590	0
instance_591	0
instance_592	0
instance_593	0
instance_594	1
instance_595	1
instance_596	3
instance_597	1
instance_598	0
instance_599	4
instance_600	2
